UnitCode,ParkName,State,Country,Latitude,Longitude
ABLI,Abraham Lincoln Birthplace NHP,KY,USA,37.53154,-85.7352542
ACAD,Acadia NP,ME,USA,44.3385559,-68.2733346
ADAM,Adams NHP,MA,USA,42.2392354,-71.0035279
AFBG,African Burial Ground NM,NY,USA,40.7145373,-74.0044668
AGFO,Agate Fossil Beds NM,NE,USA,42.4252103,-103.7342402
ALFL,Alibates Flint Quarries NM,TX,USA,35.573127,-101.6874768
ALPO,Allegheny Portage Railroad NHS,PA,USA,40.457305,-78.5492567
AMIS,Amistad NRA,TX,USA,29.4955775,-100.9952685
ANDE,Andersonville NHS,GA,USA,32.2002948,-84.1303207
ANJO,Andrew Johnson NHS,TN,USA,36.1627802,-82.8294485
ANIA,Aniakchak NM & PRES,AK,USA,56.903644,-158.0989777
ANTI,Antietam NB,MD,USA,39.4687452,-77.7387923
APIS,Apostle Islands NL,WI,USA,47.0027301,-90.6908353
APCO,Appomattox Court House NHP,VA,USA,37.3775201,-78.7960069
ARCH,Arches NP,UT,USA,38.733081,-109.5925139
ARPO,Arkansas Post NMEM,AR,USA,34.0210974,-91.3478851
ARHO,Arlington House The R.E. Lee MEM,VA,USA,38.8811673,-77.0726163
ASIS,Assateague Island NS,MD,USA,38.0607973,-75.2362382
AZRU,Aztec Ruins NM,NM,USA,36.8372086,-108.000093
BADL,Badlands NP,SD,USA,43.8553804,-102.3396912
BAND,Bandelier NM,NM,USA,35.7646675,-106.3228302
BEPA,Belmont-Paul Women's Equality NM,DC,USA,38.892316,-77.003768
BEOL,Bent's Old Fort NHS,CO,USA,38.0404268,-103.4295033
BELA,Bering Land Bridge NPRES,AK,USA,65.9258669,-164.4377877
BIBE,Big Bend NP,TX,USA,29.2499017,-103.2501638
BICY,Big Cypress NPRES,FL,USA,26.0485819,-81.0754657
BIHO,Big Hole NB,MT,USA,45.6450983,-113.6538219
BISO,Big South Fork NRRA,TN,USA,36.470717,-84.651374
BITH,Big Thicket NPRES,TX,USA,30.4721792,-94.3473144
BICA,Bighorn Canyon NRA,MT,USA,45.3109005,-107.9359118
BISC,Biscayne NP,FL,USA,25.4824229,-80.2083103
BLCA,Black Canyon of the Gunnison NP,CO,USA,38.5753936,-107.7415961
BLRI,Blue Ridge PKWY,NC,USA,36.4083325,-81.195844
BLUE,Bluestone NSR,WV,USA,37.3981898,-81.167565
BOWA,Booker T. Washington NM,VA,USA,37.1195544,-79.7316768
BOAF,Boston African American NHS,MA,USA,42.3599643,-71.0651767
BOST,Boston NHP,MA,USA,42.373162,-71.056834
BRVB,Brown v. Board of Education NHS,KS,USA,39.0379038,-95.6763774
BRCA,Bryce Canyon NP,UT,USA,37.5930377,-112.1870895
BUIS,Buck Island Reef NM,VI,USA,17.7870946,-64.6206106
BUFF,Buffalo NR,AR,USA,35.9828912,-92.7548041
CABR,Cabrillo NM,CA,USA,32.6735426,-117.2425191
CANA,Canaveral NS,FL,USA,28.789536,-80.7563754
CARI,Cane River Creole NHP,LA,USA,31.6652693,-93.0033638
CACH,Canyon de Chelly NM,AZ,USA,36.1336111,-109.4694444
CANY,Canyonlands NP,UT,USA,38.3268693,-109.8782592
CACO,Cape Cod NS,MA,USA,41.9043472,-69.9789243
CAHA,Cape Hatteras NS,NC,USA,35.2426424,-75.5392755
CAKR,Cape Krusenstern NM,AK,USA,67.1280556,-163.7452778
CALO,Cape Lookout NS,NC,USA,34.6227474,-76.5246207
CARE,Capitol Reef NP,UT,USA,38.3669703,-111.2615042
CAVO,Capulin Volcano NM,NM,USA,36.782222,-103.97
CARL,Carl Sandburg Home NHS,NC,USA,35.2714108,-82.4472471
CAVE,Carlsbad Caverns NP,NM,USA,32.1478553,-104.5567138
CAWO,Carter G. Woodson Home NHS,DC,USA,38.9107917,-77.0242
CAGR,Casa Grande Ruins NM,AZ,USA,32.9954589,-111.5355282
CASA,Castillo de San Marcos NM,FL,USA,29.8978618,-81.3115187
CACL,Castle Clinton NM,NY,USA,40.7034401,-74.0168023
CATO,Catoctin Mountain Park,MD,USA,39.647875,-77.4663771
